Time,Roof,F15,F14,F13,F12,F11,F10,F9,F8,F7,F6,F5,F4,F3,F2
0.46,1.98461538461537e-06,-9.02307692307691e-06,-4.87692307692309e-06,-5.26923076923077e-06,-5.95384615384616e-06,-7.63076923076922e-06,-1.09615384615385e-05,-1.48138461538462e-05,-2.63738461538462e-05,-2.486e-05,-1.53585384615385e-05,-1.69583846153846e-05,-1.70638461538462e-05,-9.77230769230769e-06,1.89539285714286e-05
0.47,1.98461538461539e-06,-9.02307692307693e-06,-4.88461538461538e-06,-5.26153846153846e-06,-5.96153846153847e-06,-7.68461538461538e-06,-1.10230769230769e-05,-1.48661538461539e-05,-2.64392307692308e-05,-2.49215384615385e-05,-1.5424e-05,-1.70152307692308e-05,-1.71223076923077e-05,-9.82e-06,1.89503571428571e-05
0.48,1.98461538461537e-06,-9.03076923076923e-06,-4.87692307692307e-06,-5.26153846153847e-06,-5.97692307692308e-06,-7.73846153846154e-06,-1.10846153846154e-05,-1.49253846153846e-05,-2.65038461538462e-05,-2.49846153846154e-05,-1.54886153846154e-05,-1.70721538461538e-05,-1.71838461538462e-05,-9.86846153846154e-06,1.89482142857143e-05
0.49,1.97692307692308e-06,-9.03846153846154e-06,-4.86923076923077e-06,-5.25384615384614e-06,-6.00769230769231e-06,-7.7923076923077e-06,-1.11384615384615e-05,-1.49930769230769e-05,-2.65676923076923e-05,-2.50492307692308e-05,-1.55512307692308e-05,-1.71303076923077e-05,-1.72469230769231e-05,-9.91615384615385e-06,1.89467857142857e-05
0.5,1.97692307692308e-06,-9.04615384615385e-06,-4.86153846153846e-06,-5.24615384615385e-06,-6.04615384615385e-06,-7.85384615384615e-06,-1.12e-05,-1.50530769230769e-05,-2.66307692307692e-05,-2.51138461538462e-05,-1.56132307692308e-05,-1.71898461538462e-05,-1.73123076923077e-05,-9.96153846153846e-06,1.89453571428571e-05
0.51,1.97692307692306e-06,-9.05384615384614e-06,-4.85384615384615e-06,-5.25384615384616e-06,-6.07692307692307e-06,-7.91538461538463e-06,-1.12538461538462e-05,-1.51269230769231e-05,-2.66930769230769e-05,-2.518e-05,-1.5674e-05,-1.72521538461538e-05,-1.73776923076923e-05,-1.00046153846154e-05,1.89432142857143e-05
0.52,1.97692307692308e-06,-9.06153846153846e-06,-4.84615384615386e-06,-5.25384615384614e-06,-6.13076923076923e-06,-7.97692307692307e-06,-1.13153846153846e-05,-1.51923076923077e-05,-2.67553846153846e-05,-2.52461538461538e-05,-1.57337692307692e-05,-1.7317e-05,-1.74438461538462e-05,-1.00438461538462e-05,1.894e-05
0.53,1.97692307692308e-06,-9.06153846153846e-06,-4.83846153846154e-06,-5.26923076923077e-06,-6.17692307692307e-06,-8.04615384615385e-06,-1.13769230769231e-05,-1.52561538461538e-05,-2.68184615384615e-05,-2.53123076923077e-05,-1.57939230769231e-05,-1.73845384615385e-05,-1.75076923076923e-05,-1.00823076923077e-05,1.89364285714286e-05
0.54,1.97692307692308e-06,-9.06923076923079e-06,-4.83076923076922e-06,-5.28461538461539e-06,-6.23846153846154e-06,-8.1e-06,-1.14384615384615e-05,-1.53284615384615e-05,-2.68823076923077e-05,-2.53769230769231e-05,-1.58550769230769e-05,-1.74533846153846e-05,-1.75707692307692e-05,-1.01184615384615e-05,1.89325e-05
0.55,1.96923076923077e-06,-9.06153846153846e-06,-4.82307692307694e-06,-5.31538461538461e-06,-6.3e-06,-8.16153846153846e-06,-1.15076923076923e-05,-1.53907692307692e-05,-2.69476923076923e-05,-2.54407692307692e-05,-1.59178461538462e-05,-1.75236923076923e-05,-1.763e-05,-1.01553846153846e-05,1.89278571428571e-05
