Time,Roof,F15,F14,F13,F12,F11,F10,F9,F8,F7,F6,F5,F4,F3,F2
0.35,-8.30769230769231e-06,-2.36846153846154e-05,-1.91538461538462e-05,-1.89692307692308e-05,-1.89153846153846e-05,-1.84615384615385e-05,-1.65869230769231e-05,-1.47507692307692e-05,-2.26892307692308e-05,-2.13176923076923e-05,-1.35062307692308e-05,-1.54899230769231e-05,-1.59869230769231e-05,-9.68846153846154e-06,1.76896428571429e-05
0.36,-8.31538461538464e-06,-2.36769230769231e-05,-1.91538461538461e-05,-1.89692307692308e-05,-1.89230769230769e-05,-1.84692307692308e-05,-1.65992307692308e-05,-1.47969230769231e-05,-2.27438461538462e-05,-2.13684615384615e-05,-1.35643076923077e-05,-1.55433846153846e-05,-1.60430769230769e-05,-9.72769230769231e-06,1.76867857142857e-05
0.37,-8.3153846153846e-06,-2.36769230769231e-05,-1.91615384615385e-05,-1.89692307692308e-05,-1.89230769230769e-05,-1.84769230769231e-05,-1.66146153846154e-05,-1.48484615384615e-05,-2.27969230769231e-05,-2.142e-05,-1.36229230769231e-05,-1.55970769230769e-05,-1.61e-05,-9.76615384615385e-06,1.76842857142857e-05
0.38,-8.3153846153846e-06,-2.36846153846154e-05,-1.91615384615385e-05,-1.89615384615385e-05,-1.89307692307692e-05,-1.84846153846154e-05,-1.66423076923077e-05,-1.49023076923077e-05,-2.28484615384615e-05,-2.14746153846154e-05,-1.36802307692308e-05,-1.56528461538462e-05,-1.61553846153846e-05,-9.80461538461539e-06,1.76817857142857e-05
0.39,-8.32307692307693e-06,-2.36846153846154e-05,-1.91615384615384e-05,-1.89615384615385e-05,-1.89384615384615e-05,-1.84923076923077e-05,-1.66738461538462e-05,-1.49584615384615e-05,-2.28992307692308e-05,-2.15315384615385e-05,-1.37356153846154e-05,-1.57105384615385e-05,-1.621e-05,-9.84230769230769e-06,1.76785714285714e-05
0.4,-8.32307692307693e-06,-2.36846153846154e-05,-1.91615384615385e-05,-1.89692307692308e-05,-1.89384615384615e-05,-1.85076923076923e-05,-1.67076923076923e-05,-1.50169230769231e-05,-2.29492307692308e-05,-2.15907692307692e-05,-1.3791e-05,-1.57697692307692e-05,-1.62623076923077e-05,-9.88076923076923e-06,1.76746428571429e-05
0.41,-8.3230769230769e-06,-2.36923076923077e-05,-1.91615384615385e-05,-1.89615384615385e-05,-1.89538461538461e-05,-1.85153846153846e-05,-1.67615384615385e-05,-1.50676923076923e-05,-2.30023076923077e-05,-2.165e-05,-1.38459230769231e-05,-1.58294615384615e-05,-1.63146153846154e-05,-9.91923076923077e-06,1.76707142857143e-05
0.42,-8.33076923076923e-06,-2.36923076923077e-05,-1.91538461538462e-05,-1.89769230769231e-05,-1.89538461538461e-05,-1.85384615384615e-05,-1.68076923076923e-05,-1.51230769230769e-05,-2.30553846153846e-05,-2.17092307692308e-05,-1.39024615384615e-05,-1.58890769230769e-05,-1.63669230769231e-05,-9.95769230769231e-06,1.76660714285714e-05
0.43,-8.33076923076923e-06,-2.37e-05,-1.91538461538462e-05,-1.89769230769231e-05,-1.89615384615385e-05,-1.85692307692308e-05,-1.68615384615385e-05,-1.51730769230769e-05,-2.31107692307692e-05,-2.17684615384615e-05,-1.39596153846154e-05,-1.59473076923077e-05,-1.64192307692308e-05,-9.99846153846154e-06,1.76607142857143e-05
0.44,-8.33076923076923e-06,-2.37e-05,-1.91538461538462e-05,-1.89769230769231e-05,-1.89769230769231e-05,-1.86e-05,-1.69153846153846e-05,-1.52269230769231e-05,-2.31684615384615e-05,-2.18261538461538e-05,-1.40183076923077e-05,-1.60055384615385e-05,-1.64707692307692e-05,-1.00407692307692e-05,1.7655e-05
0.45,-8.33846153846156e-06,-2.37e-05,-1.91538461538462e-05,-1.89846153846154e-05,-1.89846153846154e-05,-1.86384615384615e-05,-1.69769230769231e-05,-1.52769230769231e-05,-2.32276923076923e-05,-2.18838461538462e-05,-1.40785384615385e-05,-1.60614615384615e-05,-1.65246153846154e-05,-1.00861538461538e-05,1.76503571428571e-05
0.46,-8.33846153846156e-06,-2.37e-05,-1.91538461538462e-05,-1.9e-05,-1.89923076923077e-05,-1.86846153846154e-05,-1.70307692307692e-05,-1.53330769230769e-05,-2.32861538461538e-05,-2.19423076923077e-05,-1.41393076923077e-05,-1.61160769230769e-05,-1.65807692307692e-05,-1.01330769230769e-05,1.76464285714286e-05
0.47,-8.33846153846156e-06,-2.37e-05,-1.91615384615385e-05,-1.9e-05,-1.90153846153846e-05,-1.87384615384615e-05,-1.70846153846154e-05,-1.53869230769231e-05,-2.33461538461538e-05,-2.2e-05,-1.42003076923077e-05,-1.61704615384615e-05,-1.66384615384615e-05,-1.01815384615385e-05,1.76432142857143e-05
0.48,-8.34615384615385e-06,-2.37e-05,-1.91615384615385e-05,-1.90076923076923e-05,-1.90461538461539e-05,-1.87923076923077e-05,-1.71384615384615e-05,-1.54392307692308e-05,-2.34061538461538e-05,-2.20584615384615e-05,-1.42611538461538e-05,-1.62257692307692e-05,-1.66976923076923e-05,-1.02307692307692e-05,1.76410714285714e-05
0.49,-8.34615384615385e-06,-2.37e-05,-1.91615384615385e-05,-1.90230769230769e-05,-1.90769230769231e-05,-1.88461538461538e-05,-1.71923076923077e-05,-1.54992307692308e-05,-2.34661538461538e-05,-2.21176923076923e-05,-1.43207692307692e-05,-1.62815384615385e-05,-1.67592307692308e-05,-1.02784615384615e-05,1.76392857142857e-05
0.5,-8.36153846153844e-06,-2.36923076923077e-05,-1.91769230769231e-05,-1.90307692307692e-05,-1.91076923076923e-05,-1.89076923076923e-05,-1.72461538461538e-05,-1.55584615384615e-05,-2.35253846153846e-05,-2.21776923076923e-05,-1.43797692307692e-05,-1.63386923076923e-05,-1.68230769230769e-05,-1.03246153846154e-05,1.76378571428571e-05
